Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,136.04,-74.27,0,top
C2,0.1uF,C_0402_1005Metric,115.685,-74.3,0,top
C3,0.1uF,C_0402_1005Metric,176.74,-74.31,0,top
C4,0.1uF,C_0402_1005Metric,156.44,-74.27,0,top
C5,15pF,C_0402_1005Metric,123.395,-84.8075,90,top
C6,15pF,C_0402_1005Metric,129.225,-84.0675,-90,top
C7,10uF/25V,C_0805_2012Metric,165.4075,-95.18,0,top
C8,10uF/25V,C_0805_2012Metric,165.4075,-93.13,0,top
C9,0.1uF,C_0402_1005Metric,168.5975,-96.6,180,top
C10,1uF,C_0603_1608Metric,168.2975,-97.87,180,top
C11,0.1uF,C_0402_1005Metric,161.0475,-97.63,-90,top
C12,10uF/25V,C_0805_2012Metric,159.0975,-93.465,180,top
C13,10uF/25V,C_0805_2012Metric,159.0975,-91.425,180,top
C14,10uF/25V,C_0805_2012Metric,163.2675,-88.2,-90,top
C15,10uF/25V,C_0805_2012Metric,161.2475,-88.2,-90,top
C16,0.1uF,C_0402_1005Metric,168.6175,-89.73,180,top
C17,10uF/25V,C_0805_2012Metric,162.1575,-85.05,180,top
C18,10uF/25V,C_0805_2012Metric,162.1575,-83,180,top
C19,0.1uF,C_0402_1005Metric,137.995,-95.9075,180,top
C20,0.1uF,C_0402_1005Metric,137.995,-94.9275,180,top
C21,0.1uF,C_0402_1005Metric,125.195,-90.0275,0,top
C22,0.1uF,C_0402_1005Metric,125.195,-91.0375,0,top
C23,0.1uF,C_0402_1005Metric,130.55,-85.0175,-90,top
C24,0.1uF,C_0402_1005Metric,138.065,-87.7175,180,top
C25,0.1uF,C_0402_1005Metric,133.5,-85.0275,-90,top
C26,0.1uF,C_0402_1005Metric,125.205,-92.0275,0,top
C27,0.1uF,C_0402_1005Metric,125.205,-93.0075,0,top
C28,0.1uF,C_0402_1005Metric,138.005,-97.8775,180,top
C29,0.1uF,C_0402_1005Metric,138.005,-96.8875,180,top
C30,0.1uF,C_0402_1005Metric,138.03,-98.85,180,top
C31,0.1uF,C_0402_1005Metric,134.48,-85.0275,-90,top
C32,0.1uF,C_0402_1005Metric,125.205,-95.9575,0,top
C33,0.1uF,C_0402_1005Metric,125.205,-96.9375,0,top
C34,0.1uF,C_0402_1005Metric,138.065,-88.6975,180,top
C35,0.1uF,C_0402_1005Metric,138.075,-89.6875,180,top
C36,0.1uF,C_0402_1005Metric,125.195,-89.0575,0,top
C37,0.1uF,C_0402_1005Metric,125.205,-88.0775,0,top
C38,0.1uF,C_0402_1005Metric,125.205,-94.0075,0,top
C39,0.1uF,C_0402_1005Metric,125.205,-94.9775,0,top
C40,0.1uF,C_0402_1005Metric,132.51,-85.0175,-90,top
C41,0.1uF,C_0402_1005Metric,131.53,-85.0175,-90,top
C42,0.1uF,C_0402_1005Metric,144.29,-94.98,180,top
FB1,FerriteBead,L_0603_1608Metric,132.98,-81.18,0,top
J1,RB1-125B8G1A,RJ45_UDE_RB1-125B8G1A,135.508,-70.77,180,top
J2,RB1-125B8G1A,RJ45_UDE_RB1-125B8G1A,115.188,-70.77,180,top
J3,RB1-125B8G1A,RJ45_UDE_RB1-125B8G1A,176.275,-70.77,180,top
J4,RB1-125B8G1A,RJ45_UDE_RB1-125B8G1A,155.955,-70.77,180,top
J5,TYPE-C-31-M-12,HRO_TYPE-C-31-M-12,177.02,-93.31,90,top
L1,15uH,L_Bourns-SRN4018,158.1475,-97.095,90,top
